제목,부제목,훈련과정ID,훈련과정순차,훈련기관ID,훈련기관코드,지역코드,훈련시작일자,훈련종료일자,훈련시작_월,훈련종료_월,훈련기간_일,훈련기간_주,훈련기간_월,정원,수강신청인원,수강비,실제훈련비,만족도점수,NCS_코드,훈련대상,훈련구분,주소,전화번호,정원_대비_신청률,1차분류,2차분류,3차분류
실시간 데이터처리 자바 웹서비스개발과정 ,한경닷컴IT교육센터,AIG20240000459174,1,500020045827,200701063,11560,2024-06-27,2024-12-27,6,12,183,26.1,6.1,24,24,16988400,16988400,84.0,20010202,K-디지털 트레이닝,C0104, 영등포구,02-6340-2460,100.0,정보통신,정보기술,정보기술개발
"전산회계1급, 전산세무2급, AT 자격증 취득 - 자체시험장운영",그린컴퓨터아카데미 신촌,AIG20210000364247,1,500020016713,200802672,11440,2024-06-27,2024-08-16,6,8,50,7.1,1.7,20,10,1180800,1180800,94.6,2030202,국민내일배움카드(일반),C0061, 마포구,02-715-2111,50.0,정보통신,,
"웹디자인 (포토샵, 일러스트) 기본과정",아세아직업전문학교,AIG20230000426683,3,500020019159,200400170,11170,2024-06-27,2024-07-05,6,7,8,1.1,0.3,20,0,278040,278040,0.0,20010207,국민내일배움카드(일반),C0061, 용산구,02-989-1567,0.0,정보통신,정보기술,정보기술개발
인테리어필름&단열필름 시공,다인직업전문학교,AIG20230000442470,1,500020015811,200702113,11470,2024-06-27,2024-08-07,6,8,41,5.9,1.4,20,8,1091200,1091200,99.0,14030209,국민내일배움카드(일반),C0061, 양천구,02-2695-6955,40.0,,,
SNS마케팅활용과 디지털콘텐츠제작,자리잡자직업전문학교,AIG20230000441190,2,500020019322,200200663,11170,2024-06-27,2024-08-22,6,8,56,8.0,1.9,20,0,323520,353520,0.0,2010301,국민내일배움카드(일반),C0061, 용산구,02-792-8001,0.0,정보통신,,
"취업을 위한 UI/UX 웹 디자이너 포트폴리오 제작 (웹디자인, 웹퍼블리셔)",아세아직업전문학교,AIG20230000437776,1,500020019159,200400170,11170,2024-06-27,2024-07-12,6,7,15,2.1,0.5,20,0,635520,635520,0.0,20010207,국민내일배움카드(일반),C0061, 용산구,02-989-1567,0.0,정보통신,정보기술,정보기술개발
멋쟁이사자처럼 프론트엔드 스쿨(심화),주식회사멋쟁이사자처럼,AIG20230000455522,2,500037933544,202002424,11110,2024-06-27,2024-08-28,6,8,62,8.9,2.1,60,31,5000940,5000940,82.4,20010202,K-디지털 트레이닝,C0104, 종로구,02-6203-7222,51.7,정보통신,정보기술,정보기술개발
"기업의 업무 자동화(RPA, 챗GPT) 플랫폼(JAVA, Spring) 개발",(주)KD아카데미,AIG20240000459130,1,500020062489,200701532,11350,2024-06-27,2024-12-18,6,12,174,24.9,5.8,25,12,9018350,9018350,94.8,20010202,K-디지털 트레이닝,C0104, 노원구,02-951-0008,48.0,정보통신,정보기술,정보기술개발
"2D그래픽 제작(포토샵, 일러스트)",(주)나눔디지털디자인학원,AIG20230000442965,1,500035530560,201900481,11530,2024-06-27,2024-08-20,6,8,54,7.7,1.8,20,6,297900,297900,100.0,20020318,국민내일배움카드(일반),C0061, 구로구,02-865-9777,30.0,정보통신,통신기술,
붓 캘리그라피,용산여성인력개발센터,AIG20230000432792,2,500020011052,200900283,11170,2024-06-27,2024-10-17,6,10,112,16.0,3.7,16,12,202320,237320,100.0,8020101,국민내일배움카드(일반),C0061, 용산구,02-714-9762,75.0,,,
핵심콕콕 오토캐드(Auto CAD)_실내건축설계 시작의 기초,역삼 그린컴퓨터아카데미,AIG20230000418239,1,500020046288,201200854,11680,2024-06-27,2024-07-30,6,7,33,4.7,1.1,20,10,265980,265980,0.0,14030104,국민내일배움카드(일반),C0061, 강남구,02-3481-1006,50.0,,,
"[멀티미디어]멀티미디어 영상콘텐츠제작(프리미어,에펙,영상편집)_B",(주)KD아카데미,AIG20230000441926,1,500020062489,200701532,11350,2024-06-27,2024-12-09,6,12,165,23.6,5.5,20,19,5304000,5304000,92.9,8030204,국가기간전략산업직종,C0054, 노원구,02-951-0008,95.0,,,
"[과정평가형]실내건축산업기사(인테리어디자인, 캐드, 맥스, 스케치업)A",그린컴퓨터아트학원,AIG20230000457282,1,500020062235,200300611,11110,2024-06-27,2024-11-21,6,11,147,21.0,4.9,20,17,4496000,4496000,99.1,8020107,과정평가형훈련,C0055C, 종로구,02-722-2111,85.0,,,
제과기능장 자격증 취득(실기),한국제과직업전문학교,AIG20230000438092,2,500020053397,200400361,11560,2024-06-28,2024-08-01,6,8,34,4.9,1.1,20,4,680000,1875000,14.3,21020101,국민내일배움카드(일반),C0061, 영등포구,02-843-6110,20.0,,,
SCA 국제 바리스타 초급+중급 자격증 취득 과정,커피바이아카데미아커피학원,AIG20230000415044,1,500041183175,202200099,11710,2024-06-28,2024-07-25,6,7,27,3.9,0.9,15,5,616000,616000,90.0,13010203,국민내일배움카드(일반),C0061, 송파구,02-415-4153,33.3,,,
"[단기속성]전산세무회계(전산회계1급, 전산세무2급)자격증",(주)KD아카데미,AIG20230000438727,1,500020062489,200701532,11350,2024-06-28,2024-08-06,6,8,39,5.6,1.3,20,10,918400,918400,92.1,2030202,국민내일배움카드(일반),C0061, 노원구,02-951-0008,50.0,정보통신,,
(과정평가형 자격) 조경기사 자격증 취득,(재단법인)서울호서직업전문학교,AIG20230000457293,1,500020025468,200400760,11500,2024-06-28,2024-11-22,6,11,147,21.0,4.9,20,15,5456000,5456000,75.2,14050101,과정평가형훈련,C0055C, 강서구,02-3660-0201,75.0,,,
"(BIM)실내건축(실내디자인,인테리어) 및 전시디자인 실무자 양성과정",서울현대직업전문학교,AIG20230000429166,1,500020017021,200902155,11530,2024-06-28,2024-11-15,6,11,140,20.0,4.7,24,12,5253880,5253880,93.9,14030104,스마트혼합훈련,C0054Y, 구로구,02-2638-0700,50.0,,,
"(기계설계제작)VR 활용한 2D/3D CAD 및 CNC,MCT,3D 프린터 활용시제품 제작-A",서울현대직업전문학교,AIG20230000421188,1,500020017021,200902155,11530,2024-06-28,2024-12-20,6,12,175,25.0,5.8,24,12,7031760,7031760,92.2,15010201,스마트혼합훈련,C0054Y, 구로구,02-2638-0700,50.0,,,
(디지털컨버전스)공공데이터 융합 자바개발자 양성과정A30(16),KH정보교육원 강남지원,AIG20230000437759,1,500020062069,200101019,11680,2024-06-28,2024-12-13,6,12,168,24.0,5.6,30,29,6473520,6473520,93.4,20010202,국가기간전략산업직종,C0054, 강남구,02-1544-9970,96.7,정보통신,정보기술,정보기술개발
(디지털디자인)Figma활용 UI/UX 반응형 웹디자인&웹퍼블리셔 3,하이미디어아카데미,AIG20230000447202,1,500020021310,201000349,11410,2024-06-28,2024-11-25,6,11,150,21.4,5.0,30,14,4271200,4271200,95.2,8020104,국가기간전략산업직종,C0054, 서대문구,02-714-0008,46.7,,,
"(BIM) 디지털 건축설계(캐드,레빗,스케치업,맥스)_인테리어디자인 실무 양성과정 03",강남 그린컴퓨터아카데미,AIG20230000445591,1,500020046871,201100784,11680,2024-06-28,2024-11-26,6,11,151,21.6,5.0,20,13,5736000,5736000,89.8,14030101,국가기간전략산업직종,C0054, 강남구,02-3481-1005,65.0,,,
사회복지사1급 자격증 핵심이론 대비반(전과목 대비),종로여성인력개발센터,AIG20230000431860,1,500020058490,200400247,11110,2024-06-29,2024-09-07,6,9,70,10.0,2.3,25,16,556080,556080,100.0,7010203,국민내일배움카드(일반),C0061, 종로구,02-765-1326,64.0,,,
소방기술사 취득 필기반 (평가),(주)미동소방학원,AIG20230000440500,1,500033992111,201706262,11560,2024-06-29,2024-11-02,6,11,126,18.0,4.2,30,17,615360,920000,100.0,5020104,국민내일배움카드(일반),C0061, 영등포구,02-2274-0119,56.7,,,
클라우드 서비스를 위한 도커 & 쿠버네티스(Kbuernetes),그린아이티아카데미학원,AIG20230000418253,3,500037119543,202000432,11680,2024-06-29,2024-08-31,6,8,63,9.0,2.1,20,9,397200,397200,0.0,20010208,국민내일배움카드(일반),C0061, 강남구,02-6952-0717,45.0,정보통신,정보기술,정보기술개발
가죽공예 가방제작 심화반,평생문화센터강동평생교육원,AIG20230000444361,1,500020041992,200902429,11740,2024-06-29,2024-10-19,6,10,112,16.0,3.7,20,9,598500,677500,0.0,22020107,국민내일배움카드(일반),C0061, 강동구,02-483-9377,45.0,,,
"유색보석감정,감별(토요반)",한국보석학원,AIG20230000425822,1,500020037544,200601080,11110,2024-06-29,2024-08-17,6,8,49,7.0,1.6,15,3,375360,600000,100.0,22020204,국민내일배움카드(일반),C0061, 종로구,02-764-4500,20.0,,,
전기기능장 취득(실기) 심화 B 과정,수도직업전문학교,AIG20220000388671,2,500020055327,201400042,11560,2024-06-29,2024-08-11,6,8,43,6.1,1.4,20,14,671300,791300,100.0,19010804,국민내일배움카드(일반),C0061, 영등포구,02-2634-1987,70.0,,,
소방기술사 취득 필기반 (심화),(주)미동소방학원,AIG20230000440492,1,500033992111,201706262,11560,2024-06-29,2024-11-02,6,11,126,18.0,4.2,30,9,615360,920000,100.0,5020104,국민내일배움카드(일반),C0061, 영등포구,02-2274-0119,30.0,,,
2D CAD(캐드)기초 과정,하이미디어컴퓨터학원,AIG20220000386247,1,500020012631,200601553,11350,2024-06-29,2024-08-24,6,8,56,8.0,1.9,20,14,265980,265980,100.0,14030104,국민내일배움카드(일반),C0061, 노원구,02-6337-0008,70.0,,,
[주말]캐드기초+전산응용건축제도기능사(실기),(주)KD아카데미,AIG20230000425694,1,500020062489,200701532,11350,2024-06-29,2024-08-17,6,8,49,7.0,1.6,20,6,450120,450120,100.0,14030101,국민내일배움카드(일반),C0061, 노원구,02-951-0008,30.0,,,
화훼장식 산업기사 국가자격증(실기)반,꽃이오면학원,AIG20230000446922,1,500020035147,201400449,11440,2024-06-30,2024-10-06,6,10,98,14.0,3.3,12,7,782040,980000,92.9,24010401,국민내일배움카드(일반),C0061, 마포구,02-704-8641,58.3,,,
카카오테크 부트캠프 - 풀스택 과정,한국전파진흥협회,AIG20240000459124,1,500020053280,201000256,11470,2024-07-01,2024-12-27,7,12,179,25.6,6.0,55,52,18150000,18150000,76.0,20010201,K-디지털 트레이닝,C0104, 양천구,02-317-6183,94.5,정보통신,정보기술,정보기술개발
[SK하이닉스] 청년 Hy-Po,대한상공회의소,AIG20210000329032,60,500037517077,202001423,11215,2024-07-01,2024-08-29,7,8,59,8.4,2.0,17,15,5808000,5808000,92.7,19030601,K-디지털 트레이닝,C0104, 중구,02-6050-3938,88.2,,,
3D프린터기반 캐릭터 목업제작자 양성,비에이치쓰리디(BH3D)조형학원,AIG20230000413431,1,500020015007,201100339,11200,2024-07-01,2024-11-26,7,11,148,21.1,4.9,20,15,2190240,2580240,92.3,8030208,국민내일배움카드(일반),C0061, 성동구,02-2282-6796,75.0,,,
가스텅스텐아크용접기능사실기(알곤),한성냉동용접학원,AIG20230000436359,1,500020019030,201100385,11560,2024-07-01,2024-07-26,7,7,25,3.6,0.8,14,6,1015000,1500000,100.0,16010503,국민내일배움카드(일반),C0061, 영등포구,02-2637-7100,42.9,,,
SAP Young Next Cloud Academy,대한상공회의소,AIG20220000366789,27,500037517077,202001423,11110,2024-07-01,2024-12-24,7,12,176,25.1,5.9,25,25,0,0,91.5,20010202,K-디지털 트레이닝,C0104, 중구,02-6050-3938,100.0,정보통신,정보기술,정보기술개발
카카오(Kakao) 클라우드 개발자 양성과정,한국전파진흥협회,AIG20220000366873,6,500020053280,201000256,11470,2024-07-01,2024-12-27,7,12,179,25.6,6.0,55,49,18150000,18150000,81.6,20010202,K-디지털 트레이닝,C0104, 양천구,02-317-6183,89.1,정보통신,정보기술,정보기술개발
전산회계2급 자격증취득,서초여성인력개발센터,AIG20220000394705,2,500020032056,200803067,11650,2024-07-01,2024-08-02,7,8,32,4.6,1.1,24,5,295200,295200,94.3,2030201,국민내일배움카드(일반),C0061, 서초구,02-6929-0011,20.8,정보통신,,
(산대특)자바(JAVA)를 활용한 클라우드 기반 웹 개발자(Linux Server) 양성 지원,그린컴퓨터아트학원,AIG20233000972465,1,500020062235,200300611,11110,2024-07-01,2024-12-31,7,12,183,26.1,6.1,20,11,8606000,8606000,57.1,20010202,산업구조변화대응,C0102, 종로구,02-722-2111,55.0,정보통신,정보기술,정보기술개발
엘리스 플러터(Flutter) 앱 개발자 트랙,(주)엘리스그룹,AIG20240000459085,1,500038398274,202003272,11200,2024-07-01,2024-12-09,7,12,161,23.0,5.4,80,20,18077400,18077400,57.1,20010202,K-디지털 트레이닝,C0104, 강남구,02-1833-6068,25.0,정보통신,정보기술,정보기술개발
심화_ROS2와 AI를 활용한 자율주행&로봇팔 개발자 부트캠프,애드인에듀 아카데미 구로가산센터,AIG20240000459108,1,500039029321,202100786,11200,2024-07-01,2024-08-30,7,8,60,8.6,2.0,30,29,5123320,5123320,89.7,20010202,K-디지털 트레이닝,C0104, 금천구,02-552-8565,96.7,정보통신,정보기술,정보기술개발
[교보DTS] Cloud architecture DX Academy(CDA),(주)한국능률협회컨설팅,AIG20240000459195,1,500020024317,200200081,11410,2024-07-01,2024-12-02,7,12,154,22.0,5.1,32,23,12705000,12705000,78.6,20010215,K-디지털 트레이닝,C0104, 마포구,02-3786-0625,71.9,정보통신,정보기술,정보기술개발
자바(JAVA) 웹개발자 양성과정(클라우드),에이콘아카데미 홍대학원,AIG20240000459242,1,500020038200,201001671,11440,2024-07-01,2025-01-03,7,1,186,26.6,6.2,30,24,9113280,9113280,89.8,20010202,K-디지털 트레이닝,C0104, 마포구,02-2233-6417,80.0,정보통신,정보기술,정보기술개발
파이썬(Python)과 빅데이터분석(처리) 입문,동국대학교 DUICA,AIG20230000454171,1,500020020603,201200922,11140,2024-07-01,2024-07-12,7,7,11,1.6,0.4,30,5,285870,285870,100.0,20010105,국민내일배움카드(일반),C0061, 중구,02-2260-3539,16.7,정보통신,정보기술,정보기술전략·계획
가죽공예 제품제작part1(초급),코스모가죽학원,AIG20230000448586,1,500034722095,201803197,11680,2024-07-01,2024-09-02,7,9,63,9.0,2.1,15,6,335160,385160,0.0,22020107,국민내일배움카드(일반),C0061, 강남구,02-518-4561,40.0,,,
"케이크 플레이버 매칭 스킬업 과정(시트, 크림)",라크렘제과실용전문학교,AIG20230000443204,1,500020062551,201601578,11200,2024-07-01,2024-09-23,7,9,84,12.0,2.8,8,7,272000,438990,100.0,21020101,국민내일배움카드(일반),C0061, 성동구,02-6052-2041,87.5,,,
실무에 바로 쓰는 웹 모의해킹 with 미션드리븐,한국정보보호교육학원,AIG20230000436751,1,500020040810,200702465,11680,2024-07-01,2024-07-05,7,7,4,0.6,0.1,20,0,264800,264800,0.0,20010602,국민내일배움카드(일반),C0061, 강남구,02-921-1465,0.0,정보통신,정보기술,정보보호
여성복제작실무(스커트.팬츠),디엠패션학원,AIG20230000424279,1,500020060497,201201377,11710,2024-07-01,2024-08-14,7,8,44,6.3,1.5,10,7,264800,264800,0.0,18020103,국민내일배움카드(일반),C0061, 송파구,02-416-0540,70.0,,,
카카오테크 부트캠프 - 생성형 인공지능(AI) 과정,한국전파진흥협회,AIG20240000459123,1,500020053280,201000256,11470,2024-07-01,2024-12-27,7,12,179,25.6,6.0,55,52,18876000,18876000,77.8,20010202,K-디지털 트레이닝,C0104, 양천구,02-317-6183,94.5,정보통신,정보기술,정보기술개발
[크래프톤] 정글,대한상공회의소,AIG20220000412364,9,500037517077,202001423,11140,2024-07-01,2024-11-21,7,11,143,20.4,4.8,33,0,23486100,23486100,90.1,20010202,K-디지털 트레이닝,C0104, 중구,02-6050-3938,0.0,정보통신,정보기술,정보기술개발
[스마트훈련] 누구나 테크 코스 : AI 엔지니어 부트 캠프,(주)알파코,AIG20220000366806,8,500040793315,202104414,11200,2024-07-01,2024-12-30,7,12,182,26.0,6.1,50,20,11721600,11721600,75.4,20010202,K-디지털 트레이닝,C0104, 성동구,02-6956-5715,40.0,정보통신,정보기술,정보기술개발
HRler를 위한 실무MBA SMAT(서비스경영능력시험) 및 CS Leaders(관리사) 국가대표자격2종 동시취득 대비반,신촌아바평생교육원(P12),AIG20230000434281,1,500037104209,202000320,11440,2024-07-01,2024-08-01,7,8,31,4.4,1.0,11,0,1021200,1021200,0.0,2020201,국민내일배움카드(일반),C0061, 마포구,02-707-1996,0.0,정보통신,,
엘리스 자율주행 AI 엔지니어 트랙,(주)엘리스그룹,AIG20240000459040,1,500038398274,202003272,11200,2024-07-01,2024-12-09,7,12,161,23.0,5.4,50,13,17442150,17442150,83.7,20010702,K-디지털 트레이닝,C0104, 강남구,02-1833-6068,26.0,정보통신,정보기술,인공지능
실무자공통MBA SMAT(서비스경영능력시험) 및 CS Leaders(관리사) 국가대표자격2종 동시취득 대비반,신촌아바평생교육원(P12),AIG20230000434450,1,500037104209,202000320,11440,2024-07-01,2024-07-16,7,7,15,2.1,0.5,11,0,765900,765900,0.0,2020201,국민내일배움카드(일반),C0061, 마포구,02-707-1996,0.0,정보통신,,
컴퓨터활용능력(컴활) 실기취득과정(엑셀 Excel),동국대학교 DUICA,AIG20230000452109,1,500020020603,201200922,11140,2024-07-01,2024-07-12,7,7,11,1.6,0.4,30,18,234000,234000,95.2,2020302,국민내일배움카드(일반),C0061, 중구,02-2260-3539,60.0,정보통신,,
[세무회계]단기속성합격 전산회계1급 자격증 및 경리실무,그린컴퓨터아카데미 신촌,AIG20220000401506,1,500020016713,200802672,11440,2024-07-01,2024-08-01,7,8,31,4.4,1.0,20,19,393600,393600,82.1,2030202,국민내일배움카드(일반),C0061, 마포구,02-715-2111,95.0,정보통신,,
(디지털컨버전스)AWS 클라우드와 Kafka를 활용한 Java(자바) Full-Stack 개발자 양성과정(E),쌍용교육센터,AIG20230000428689,1,500020052430,200500853,11680,2024-07-01,2024-12-16,7,12,168,24.0,5.6,23,10,6857980,6857980,100.0,20010202,국가기간전략산업직종,C0054, 강남구,02-3482-4633,43.5,정보통신,정보기술,정보기술개발
(디지털컨버전스)공공데이터 융합 자바개발자 양성과정A7,KH정보교육원 종로지원,AIG20230000439794,1,500020040764,201600246,11140,2024-07-01,2024-12-13,7,12,165,23.6,5.5,30,20,6473520,6473520,80.6,20010202,국가기간전략산업직종,C0054, 중구,02-6952-2737,66.7,정보통신,정보기술,정보기술개발
(과정평가형 자격) 귀금속가공산업기사 취득과정,MJC보석직업전문학교,AIG20230000458274,1,500020054581,200400555,11230,2024-07-01,2024-11-21,7,11,143,20.4,4.8,20,15,5692960,5692960,97.4,22020201,과정평가형훈련,C0055C, 동대문구,02-1661-2688,75.0,,,
"경리세무회계(전산회계1급,전산세무2급,FAT1급,TAT2급)",자리잡자직업전문학교,AIG20230000429974,1,500020019322,200200663,11170,2024-07-02,2024-08-14,7,8,43,6.1,1.4,20,0,1246400,1296400,0.0,2030202,국민내일배움카드(일반),C0061, 용산구,02-792-8001,0.0,정보통신,,
(과정평가형)직업상담사2급 자격증 취득과정,에듀인능력개발원,AIG20230000458039,1,500020021928,200700119,11530,2024-07-02,2024-11-15,7,11,136,19.4,4.5,20,6,3100800,3100800,92.9,7020101,과정평가형훈련,C0055C, 구로구,02-803-3333,30.0,,,
전산회계(1급+2급)+전산세무2급자격취득과정,솔로몬회계학원,AIG20230000436542,1,500020038677,200500294,11710,2024-07-02,2024-08-30,7,8,59,8.4,2.0,15,7,905280,905280,82.1,2030201,국민내일배움카드(일반),C0061, 송파구,02-598-7786,46.7,정보통신,,
GTQ 1급 자격증(포토샵),노원여성인력개발센터,AIG20230000427787,1,500020036948,200602061,11350,2024-07-02,2024-08-13,7,8,42,6.0,1.4,15,10,243360,243360,100.0,8030204,국민내일배움카드(일반),C0061, 노원구,02-951-0187,66.7,,,
전기기능사 취득 및 전기공사 실무자 양성과정 B,한국능력개발직업전문학교,AIG20230000451625,1,500020055939,200902687,11560,2024-07-02,2024-11-20,7,11,141,20.1,4.7,20,20,4546620,4546620,92.5,19010701,국가기간전략산업직종,C0054, 영등포구,02-2632-3070,100.0,,,
"『일러스트』편집디자인(시각,광고)디자인 실무활용 및 GTQ 2급 자격증",그린컴퓨터아트학원,AIG20230000444374,1,500020062235,200300611,11110,2024-07-03,2024-08-14,7,8,42,6.0,1.4,20,15,269880,269880,92.9,22010102,국민내일배움카드(일반),C0061, 종로구,02-722-2111,75.0,,,
실속 100% 컴퓨터활용능력 2급 첫걸음_36H,역삼 그린컴퓨터아카데미,AIG20230000419807,1,500020046288,201200854,11680,2024-07-03,2024-08-07,7,8,35,5.0,1.2,20,15,216000,216000,85.7,2020302,국민내일배움카드(일반),C0061, 강남구,02-3481-1006,75.0,정보통신,,
(과정평가형자격)직업상담사1급 자격증 취득 및 실무과정,강동여성인력개발센터,AIG20230000457433,1,500020059230,201000981,11740,2024-07-03,2025-01-17,7,1,198,28.3,6.6,20,16,5426400,5426400,91.7,7020101,과정평가형훈련,C0055C, 강동구,02-475-0110,80.0,,,
ITQ한글자격증,동대문여성인력개발센터,AIG20230000438762,1,500020037155,200400272,11230,2024-07-03,2024-07-29,7,7,26,3.7,0.9,16,6,180000,180000,96.4,2020302,국민내일배움카드(일반),C0061, 동대문구,02-921-2020,37.5,정보통신,,
ISO 경영시스템 종합과정,한국산업기술시험원,AIG20220000406710,3,500020044823,200700578,11530,2024-07-03,2024-07-22,7,7,19,2.7,0.6,50,24,602280,602280,90.8,2040201,국민내일배움카드(일반),C0061, 구로구,02-860-1310,48.0,정보통신,,
[컴활2급]초보자를 위한 OA실무(엑셀)컴퓨터활용능력자격증(실기),그린컴퓨터아카데미 신촌,AIG20220000400101,5,500020016713,200802672,11440,2024-07-03,2024-07-23,7,7,20,2.9,0.7,20,16,216000,216000,83.7,2020302,국민내일배움카드(일반),C0061, 마포구,02-715-2111,80.0,정보통신,,
"[출판]트렌드한 디지털 시각편집디자이너 양성(일러스트,포토샵,인디자인)C",그린컴퓨터아트학원,AIG20230000443576,1,500020062235,200300611,11110,2024-07-03,2024-11-13,7,11,133,19.0,4.4,20,17,4982400,4982400,99.1,22010102,국가기간전략산업직종,C0054, 종로구,02-722-2111,85.0,,,
국제무역사 자격증 취득,서대문여성인력개발센터,AIG20230000441183,1,500020060396,199800138,11410,2024-07-04,2024-08-07,7,8,34,4.9,1.1,13,11,662000,662000,97.1,2040302,국민내일배움카드(일반),C0061, 서대문구,02-332-8661,84.6,정보통신,,
플로리스트 입문 기초 디자인 과정,프라시아플로리스트학원,AIG20230000435301,1,500042809553,202300828,11140,2024-07-04,2024-08-22,7,8,49,7.0,1.6,20,7,670320,670320,0.0,24010401,국민내일배움카드(일반),C0061, 중구,02-1800-8434,35.0,,,
[영상편집]프리미어 기초부터 실무활용,엠비씨(MBC)아카데미 컴퓨터국비지원교육센터,AIG20230000440069,1,500034282945,201801390,11620,2024-07-04,2024-08-06,7,8,33,4.7,1.1,30,18,202320,202320,85.7,8020104,국민내일배움카드(일반),C0061, 관악구,02-2636-7776,60.0,,,
[영상편집]애프터이펙트 기초부터 실무활용,엠비씨(MBC)아카데미 컴퓨터국비지원교육센터,AIG20230000440280,1,500034282945,201801390,11620,2024-07-05,2024-08-07,7,8,33,4.7,1.1,30,6,202320,202320,0.0,8020104,국민내일배움카드(일반),C0061, 관악구,02-2636-7776,20.0,,,
"웹디자인&퍼블리셔를 위한 HTML, CSS 기초코딩 ",강남 그린컴퓨터아카데미,AIG20230000420388,1,500020046871,201100784,11680,2024-07-05,2024-08-07,7,8,33,4.7,1.1,20,17,219180,219180,14.3,8020104,국민내일배움카드(일반),C0061, 강남구,02-3481-1005,85.0,,,
3D블렌더 기반 메타버스 에셋 제작 향상 과정,더모션아카데미망원점학원,AIG20230000439497,1,500038861440,202004598,11440,2024-07-05,2024-08-01,7,8,27,3.9,0.9,20,12,374400,374400,100.0,8030205,국민내일배움카드(일반),C0061, 마포구,1666-5309,60.0,,,
"기초 컴퓨터 문서 실무(한글,엑셀)",아이엠디컴퓨터학원,AIG20230000440873,1,500041645611,202201845,11560,2024-07-05,2024-07-24,7,7,19,2.7,0.6,20,7,234000,234000,76.8,2020302,국민내일배움카드(일반),C0061, 영등포구,02-3667-9944,35.0,정보통신,,
관광 여행종사자 디지털 문법 적응훈련 왕초보 탈출반,신촌아바평생교육원(P12),AIG20230000430889,1,500037104209,202000320,11440,2024-07-05,2024-07-18,7,7,13,1.9,0.4,11,0,345000,345000,0.0,12030103,국민내일배움카드(일반),C0061, 마포구,02-707-1996,0.0,,,
전기기사 취득 실기 문제풀이반,대산전기학원,AIG20220000395811,4,500020037244,200400677,11590,2024-07-05,2024-07-25,7,7,20,2.9,0.7,54,19,431550,431550,89.9,19010701,국민내일배움카드(일반),C0061, 동작구,02-816-0774,35.2,,,
"(게임콘텐츠제작) 유니티(Unity) 2D, 3D게임프로그래밍 제작 실무자 양성 (2)",서울IT아카데미 홍대,AIG20230000423565,1,500020028504,200601212,11440,2024-07-05,2024-12-19,7,12,167,23.9,5.6,22,14,5428800,5428800,97.1,8030205,국가기간전략산업직종,C0054, 마포구,02-2278-5700,63.6,,,
"(게임콘텐츠제작) 게임그래픽 디자이너 양성과정 (2D원화, 3D모델링)",(주)누리마루학원,AIG20230000421917,1,500020035867,201100740,11650,2024-07-05,2025-05-21,7,5,320,45.7,10.7,27,27,5304000,5304000,91.8,8030205,국가기간전략산업직종,C0054, 서초구,02-584-0806,100.0,,,
소방시설관리사 2차 실기(파이널 300제),박호순소방학원,AIG20230000444700,1,500038902873,202100095,11560,2024-07-06,2024-09-07,7,9,63,9.0,2.1,36,21,205120,350000,100.0,5020104,국민내일배움카드(일반),C0061, 영등포구,070-8621-2119,58.3,,,
드론 국가자격증 3종[필기+실기]+항공촬영 주말반,새동엔지니어링(주) 드론교육원,AIG20230000428236,4,500037079851,202000177,11620,2024-07-06,2024-08-04,7,8,29,4.1,1.0,12,7,572000,772000,100.0,9040105,국민내일배움카드(일반),C0061, 관악구,02-836-5201,58.3,,,
건축전기설비기술사 연구2,새한전기기술사학원,AIG20230000420869,2,500020011114,201403283,11560,2024-07-06,2024-12-28,7,12,175,25.0,5.8,23,15,602800,1542990,99.5,19010601,국민내일배움카드(일반),C0061, 영등포구,02-6959-3588,65.2,,,
패션브랜드 런칭 기획,서울패션직업전문학교,AIG20220000407612,3,500020050641,200500245,11440,2024-07-06,2024-09-07,7,9,63,9.0,2.1,16,10,258180,258180,100.0,18020102,국민내일배움카드(일반),C0061, 마포구,02-755-3755,62.5,,,
정보시스템감리사 취득 필기시험 준비과정,라이지움평생교육원,AIG20230000422651,1,500020024867,200400343,11650,2024-07-06,2024-11-16,7,11,133,19.0,4.4,35,19,681860,990000,87.8,20010404,국민내일배움카드(일반),C0061, 서초구,02-537-7144,54.3,정보통신,정보기술,정보기술관리
『주말』[컴활2급]OA실무 컴퓨터활용능력실기(엑셀) 자격증,그린컴퓨터아카데미 신촌,AIG20220000399961,4,500020016713,200802672,11440,2024-07-06,2024-08-17,7,8,42,6.0,1.4,20,11,216000,216000,90.5,2020302,국민내일배움카드(일반),C0061, 마포구,02-715-2111,55.0,정보통신,,
(산대특)디지털 업무전환을 위한 데이터 리터러시 입문과정,더조은컴퓨터아카데미,AIG20243001005653,1,500020028586,200902169,11680,2024-07-06,2024-08-11,7,8,36,5.1,1.2,25,19,762320,762320,91.4,20010105,산업구조변화대응,C0102, 강남구,02-594-5613,76.0,정보통신,정보기술,정보기술전략·계획
[60시간 단기 완성]ADsP(빅데이터분석 준전문가) 자격증 대비_R프로그래밍 활용,더조은컴퓨터아카데미 종로,AIG20220000386600,1,500020027870,200801979,11110,2024-07-06,2024-08-04,7,8,29,4.1,1.0,20,11,439800,439800,88.1,20010105,국민내일배움카드(일반),C0061, 종로구,02-766-8368,55.0,정보통신,정보기술,정보기술전략·계획
